date,time,home,away,competition,title,url
2024-01-02,14:30,القناة,راية الرياضي | يلاكورة,egyptian second division,مباراة القناة و راية الرياضي | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92740/%d8%a7%d9%84%d9%82%d9%86%d8%a7%d8%a9-%d8%b1%d8%a7%d9%8a%d8%a9-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6%d9%8a-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-02,14:30,المصرية للاتصالات,السكة الحديد مودرن | يلاكورة,egyptian second division,مباراة المصرية للاتصالات و السكة الحديد مودرن | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92739/%d8%a7%d9%84%d9%85%d8%b5%d8%b1%d9%8a%d8%a9-%d9%84%d9%84%d8%a7%d8%aa%d8%b5%d8%a7%d9%84%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%83%d8%a9-%d8%a7%d9%84%d8%ad%d8%af%d9%8a%d8%af-%d9%85%d9%88%d8%af%d8%b1%d9%86-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-02,14:30,حرس الحدود,بروكسي | يلاكورة,egyptian second division,مباراة حرس الحدود و بروكسي | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92738/%d8%ad%d8%b1%d8%b3-%d8%a7%d9%84%d8%ad%d8%af%d9%88%d8%af-%d8%a8%d8%b1%d9%88%d9%83%d8%b3%d9%8a-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-02,14:30,دكرنس,النجوم | يلاكورة,egyptian second division,مباراة دكرنس و النجوم | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92736/%d8%af%d9%83%d8%b1%d9%86%d8%b3-%d8%a7%d9%84%d9%86%d8%ac%d9%88%d9%85-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-03,14:30,أسوان,طنطا‏ | يلاكورة,egyptian second division,مباراة أسوان و طنطا‏ | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92741/%d8%a3%d8%b3%d9%88%d8%a7%d9%86-%d8%b7%d9%86%d8%b7%d8%a7--%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-03,14:30,بترول أسيوط,مصر المقاصة | يلاكورة,egyptian second division,مباراة بترول أسيوط و مصر المقاصة | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92734/%d8%a8%d8%aa%d8%b1%d9%88%d9%84-%d8%a3%d8%b3%d9%8a%d9%88%d8%b7-%d9%85%d8%b5%d8%b1-%d8%a7%d9%84%d9%85%d9%82%d8%a7%d8%b5%d8%a9-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-03,14:30,جمهورية شبين,بتروجيت | يلاكورة,egyptian second division,مباراة جمهورية شبين و بتروجيت | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92737/%d8%ac%d9%85%d9%87%d9%88%d8%b1%d9%8a%d8%a9-%d8%b4%d8%a8%d9%8a%d9%86-%d8%a8%d8%aa%d8%b1%d9%88%d8%ac%d9%8a%d8%aa-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-03,14:30,لافيينا أف سي,أبو قير للاسمدة | يلاكورة,egyptian second division,مباراة لافيينا أف سي و أبو قير للاسمدة | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92735/%d9%84%d8%a7%d9%81%d9%8a%d9%8a%d9%86%d8%a7-%d8%a3%d9%81-%d8%b3%d9%8a-%d8%a3%d8%a8%d9%88-%d9%82%d9%8a%d8%b1-%d9%84%d9%84%d8%a7%d8%b3%d9%85%d8%af%d8%a9-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-03,14:30,مكادي,وادي دجلة | يلاكورة,egyptian second division,مباراة مكادي و وادي دجلة | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92732/%d9%85%d9%83%d8%a7%d8%af%d9%8a-%d9%88%d8%a7%d8%af%d9%8a-%d8%af%d8%ac%d9%84%d8%a9-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-03,17:00,غزل المحلة,النصر للتعدين | يلاكورة,egyptian second division,مباراة غزل المحلة و النصر للتعدين | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92731/%d8%ba%d8%b2%d9%84-%d8%a7%d9%84%d9%85%d8%ad%d9%84%d8%a9-%d8%a7%d9%84%d9%86%d8%b5%d8%b1-%d9%84%d9%84%d8%aa%d8%b9%d8%af%d9%8a%d9%86-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
